listener,condition,isi,delta,f,response
L0,roved,5.0,1.0,1162.0,1.0
L0,roved,5.0,0.75,2277.0,1.0
L0,roved,5.0,0.0,2780.0,0.0
L0,roved,5.0,-0.25,1726.0,0.0
L0,roved,5.0,-0.75,1296.0,0.0
L0,roved,5.0,-1.0,605.0,0.0
L0,roved,5.0,-0.5,3345.0,0.0
L0,roved,5.0,0.75,1253.0,1.0
L0,roved,5.0,0.5,397.0,1.0
L0,roved,5.0,1.0,667.0,1.0
L0,roved,5.0,0.25,399.0,0.0
L0,roved,5.0,-0.5,1797.0,1.0
L0,roved,5.0,0.0,3227.0,0.0
L0,roved,5.0,1.0,1733.0,1.0
L0,roved,5.0,-0.25,1499.0,0.0
L0,roved,5.0,0.0,1594.0,1.0
L0,roved,5.0,-0.75,2546.0,0.0
L0,roved,5.0,0.25,780.0,1.0
L0,roved,5.0,0.5,521.0,1.0
L0,roved,5.0,0.5,2208.0,1.0
L0,roved,5.0,-1.0,3190.0,0.0
L0,roved,5.0,-0.75,2588.0,0.0
L0,roved,5.0,1.0,3391.0,1.0
L0,roved,5.0,0.75,2491.0,1.0
L0,roved,5.0,0.75,3126.0,1.0
L0,roved,5.0,-0.25,3041.0,0.0
L0,roved,5.0,-1.0,1514.0,0.0
L0,roved,5.0,0.5,2661.0,1.0
L0,roved,5.0,-0.25,2745.0,0.0
L0,roved,5.0,-0.5,588.0,1.0
L0,roved,5.0,0.0,233.0,0.0
L0,roved,5.0,-0.5,1633.0,1.0
L0,roved,5.0,-0.75,1474.0,0.0
L0,roved,5.0,-1.0,1974.0,0.0
L0,roved,5.0,0.25,3560.0,1.0
L0,roved,5.0,1.0,2560.0,1.0
L0,roved,5.0,-1.0,2309.0,0.0
L0,roved,5.0,-0.5,2256.0,0.0
L0,roved,5.0,0.25,1076.0,1.0
L0,roved,5.0,0.75,995.0,1.0
L0,roved,5.0,0.0,2893.0,0.0
L0,roved,5.0,0.25,1206.0,1.0
L0,roved,5.0,-0.75,2187.0,0.0
L0,roved,5.0,0.5,285.0,1.0
L0,roved,5.0,-0.25,567.0,0.0
L0,roved,10.0,-1.0,431.0,0.0
L0,roved,10.0,1.0,1569.0,1.0
L0,roved,10.0,-1.0,419.0,0.0
L0,roved,10.0,0.0,706.0,1.0
L0,roved,10.0,0.25,2349.0,1.0
L0,roved,10.0,0.5,806.0,1.0
L0,roved,10.0,1.0,1376.0,1.0
L0,roved,10.0,1.0,561.0,1.0
L0,roved,10.0,-0.5,3025.0,0.0
L0,roved,10.0,0.75,112.0,1.0
L0,roved,10.0,0.25,454.0,1.0
L0,roved,10.0,-1.0,2735.0,0.0
L0,roved,10.0,-0.25,959.0,0.0
L0,roved,10.0,0.5,3238.0,1.0
L0,roved,10.0,0.75,520.0,1.0
L0,roved,10.0,0.75,486.0,1.0
L0,roved,10.0,0.0,3318.0,0.0
L0,roved,10.0,0.0,333.0,0.0
L0,roved,10.0,0.5,3101.0,1.0
L0,roved,10.0,-0.25,2424.0,0.0
L0,roved,10.0,-0.75,943.0,0.0
L0,roved,10.0,0.0,1385.0,1.0
L0,roved,10.0,-0.25,3034.0,0.0
L0,roved,10.0,-1.0,1065.0,0.0
L0,roved,10.0,-0.25,1463.0,1.0
L0,roved,10.0,0.5,1793.0,1.0
L0,roved,10.0,-0.75,873.0,0.0
L0,roved,10.0,-0.5,658.0,1.0
L0,roved,10.0,0.25,171.0,1.0
L0,roved,10.0,-0.75,1694.0,0.0
L0,roved,10.0,1.0,1888.0,1.0
L0,roved,10.0,0.75,1050.0,1.0
L0,roved,10.0,-0.75,2233.0,0.0
