listener,condition,isi,delta,trials,num,prop,a,b,l,s,d,ppc_lo,ppc_hi,pro_pp_errors
L0,fixed,2.0,-1.0,40.0,0.0,0.0,0.7438967721200592,-0.04537240249064156,0.01009333189581846,0.12497736725179295,0.0007483746239771448,0.0,0.05,0.0076475
L0,fixed,2.0,-0.75,40.0,1.0,0.025,0.7438967721200592,-0.04537240249064156,0.01009333189581846,0.12497736725179295,0.0007483746239771448,0.0,0.05,0.01983
L0,fixed,2.0,-0.5,40.0,1.0,0.025,0.7438967721200592,-0.04537240249064156,0.01009333189581846,0.12497736725179295,0.0007483746239771448,0.0,0.05,0.0177925
L0,fixed,2.0,-0.25,40.0,2.0,0.05,0.7438967721200592,-0.04537240249064156,0.01009333189581846,0.12497736725179295,0.0007483746239771448,0.025,0.275,0.089005
L0,fixed,2.0,0.0,40.0,25.0,0.625,0.7438967721200592,-0.04537240249064156,0.01009333189581846,0.12497736725179295,0.0007483746239771448,0.425,0.75,0.06883500000000001
L0,fixed,2.0,0.25,40.0,39.0,0.975,0.7438967721200592,-0.04537240249064156,0.01009333189581846,0.12497736725179295,0.0007483746239771448,0.85,1.0,0.0366075
L0,fixed,2.0,0.5,40.0,40.0,1.0,0.7438967721200592,-0.04537240249064156,0.01009333189581846,0.12497736725179295,0.0007483746239771448,0.975,1.0,0.00455
L0,fixed,2.0,0.75,40.0,40.0,1.0,0.7438967721200592,-0.04537240249064156,0.01009333189581846,0.12497736725179295,0.0007483746239771448,0.975,1.0,0.00295
L0,fixed,2.0,1.0,40.0,40.0,1.0,0.7438967721200592,-0.04537240249064156,0.01009333189581846,0.12497736725179295,0.0007483746239771448,0.975,1.0,0.0028174999999999997
L0,fixed,5.0,-1.0,40.0,0.0,0.0,0.7438967721200592,-0.04537240249064156,0.01009333189581846,0.12497736725179295,0.0007483746239771448,0.0,0.05,0.0077625
L0,fixed,5.0,-0.75,40.0,0.0,0.0,0.7438967721200592,-0.04537240249064156,0.01009333189581846,0.12497736725179295,0.0007483746239771448,0.0,0.05,0.0078575
L0,fixed,5.0,-0.5,40.0,0.0,0.0,0.7438967721200592,-0.04537240249064156,0.01009333189581846,0.12497736725179295,0.0007483746239771448,0.0,0.075,0.01661
L0,fixed,5.0,-0.25,40.0,10.0,0.25,0.7438967721200592,-0.04537240249064156,0.01009333189581846,0.12497736725179295,0.0007483746239771448,0.05,0.275,0.10733999999999999
L0,fixed,5.0,0.0,40.0,25.0,0.625,0.7438967721200592,-0.04537240249064156,0.01009333189581846,0.12497736725179295,0.0007483746239771448,0.425,0.75,0.0690225
L0,fixed,5.0,0.25,40.0,37.0,0.925,0.7438967721200592,-0.04537240249064156,0.01009333189581846,0.12497736725179295,0.0007483746239771448,0.85,1.0,0.03508
L0,fixed,5.0,0.5,40.0,40.0,1.0,0.7438967721200592,-0.04537240249064156,0.01009333189581846,0.12497736725179295,0.0007483746239771448,0.975,1.0,0.0053
