,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
$\zeta_{\alpha}$__0,0.7101346841269798,0.28347063509562476,0.0030914809351106523,0.1473184689616916,1.2501593424902862,9121.04530877715,1.0000751265302608
$\zeta_{\alpha}$__1,0.2595639705473819,0.2740410561048906,0.0028171464863263095,-0.27263568727299425,0.8020592626693823,9039.439833979099,1.0000640535898055
$\xi_{\alpha}$__0,0.3561869968207389,0.6145703746639664,0.0034698404066977177,-0.8645489204263614,1.5195008808915638,28481.878777738373,0.9999667332621078
$\xi_{\alpha}$__1,-0.20905119916773596,0.528320639300474,0.0031039445614179984,-1.2157273777162825,0.8528610304148044,24355.72220454212,1.0000691293308557
$\xi_{\alpha}$__2,-0.4802211915003688,0.3728849100568782,0.0032556480749729444,-1.2380028602979125,0.22229465786888508,13283.17781226786,0.9999851551074636
$\xi_{\alpha}$__3,0.9433815689342069,0.379863822221129,0.0029614002572402954,0.21737304493018036,1.7114712379754453,14996.189952054245,1.000098716679649
$\xi_{\alpha}$__4,0.8266720546408743,0.496027282238971,0.0031994005562545973,-0.1391508745837681,1.8091950860939656,23446.791577354994,0.9999530768130017
$\xi_{\alpha}$__5,-1.0529190872701564,0.3786359060988776,0.003317186339795377,-1.7923165055117323,-0.3244175781532314,14783.292642458793,0.9999526394805922
$\xi_{\alpha}$__6,0.5744453634107415,0.5658447364755287,0.004343612995623269,-0.5594573103563883,1.6693285351224194,20150.559831479182,1.0002106835345437
$\xi_{\alpha}$__7,-0.8810703899918039,0.33788993844876053,0.003159814007659565,-1.548648767257585,-0.22608959895563152,12137.546985904031,0.9999505344168212
$\xi_{\alpha}$__8,-0.24641282169928713,0.5577382384690062,0.003339130196672208,-1.327066584768402,0.857557989390883,31461.50975467382,0.999950687964016
$\xi_{\alpha}$__9,1.172392287837074,0.36784448253402524,0.0035901132103666822,0.4762067912631388,1.9098001141452312,11501.438398335,1.0001215138653645
$\zeta_{\beta}$__0,-0.005441749073880904,0.20288829661835758,0.004036455511486787,-0.40297472857049327,0.3947588822999093,2601.8173790837436,1.000226989159378
$\zeta_{\beta}$__1,-0.011383517605356067,0.20294556906480044,0.00404679392431047,-0.41141663383496585,0.38712542993898574,2597.5777187983067,1.0002460312749641
$\xi_{\beta}$__0,-0.039930653416760914,0.20315681664496624,0.004047320006564251,-0.4373851831620793,0.3625529524996986,2593.2842813614125,1.0002447684716815
$\xi_{\beta}$__1,-0.007036608272889798,0.20303840127978368,0.004034148788781108,-0.40494315682513293,0.39454380493163044,2607.051924292663,1.000245055923457
$\xi_{\beta}$__2,0.03495410372778277,0.2032634360208661,0.004044672839168062,-0.36746969125064816,0.43342284108568613,2593.2812568194017,1.0002455655381977
$\xi_{\beta}$__3,-0.05088399141360063,0.20312086097469725,0.004035319224036607,-0.4561567749135862,0.3427801906498822,2612.461256136817,1.0002535972424562
$\xi_{\beta}$__4,0.026465660864219687,0.20325216255258444,0.004057192229083075,-0.3704407167749907,0.42772196089769693,2596.5334106443365,1.0002340077950551
$\xi_{\beta}$__5,-0.031948236072533,0.2031729573940418,0.004024053180308418,-0.4340915813998002,0.36433634930886327,2631.823267698022,1.0002406442759941
$\xi_{\beta}$__6,-0.033850078408790715,0.20320219818563118,0.004050181448399784,-0.45003216966970583,0.3489543247273379,2608.734594702302,1.0002344520430306
$\xi_{\beta}$__7,-0.0548498159098708,0.2035672617292906,0.004039158487332367,-0.4577102817333273,0.34246508354276234,2634.93559890077,1.0003032297536374
$\xi_{\beta}$__8,0.021094618929708275,0.2033034415128201,0.004026989836519346,-0.3859654645655155,0.4130396323657562,2606.173296837338,1.0002509042487981
$\xi_{\beta}$__9,0.17152593231124683,0.2038579941946242,0.0040518132610451365,-0.22914686380762853,0.5685004261465929,2625.9323366499452,1.0002566414894813
$\zeta_{\lambda}$__0,-2.8237981987869905,0.2214688538546558,0.0027364959312285615,-3.2422072436215443,-2.3746660309626115,5845.184186415822,0.9999633459869011
$\zeta_{\lambda}$__1,-2.33072976572341,0.23707642654692263,0.0030035803366365113,-2.8004926023126395,-1.8676067105768093,5778.91313981675,0.9999729552964173
$\xi_{\lambda}$__0,-1.761937467776361,0.39350228644648877,0.003185168664311814,-2.5383250907664725,-1.0150637274771568,14335.652012617058,1.0000365302972911
$\xi_{\lambda}$__1,-1.6793856221277372,0.3480738281304071,0.003187454674828903,-2.3493225939278637,-0.9814663218877294,11626.147105462202,0.9999579187322875
$\xi_{\lambda}$__2,-0.24529089800158832,0.27301206472402717,0.002842704773708328,-0.7750898318230058,0.2977238471634652,7893.513511136426,0.9999824977546051
$\xi_{\lambda}$__3,-0.060557612344490135,0.2625233542165321,0.0029213453637986966,-0.5662421562795786,0.46835934273780966,7025.39203191191,0.9999667926541472
$\xi_{\lambda}$__4,-0.8472607989508797,0.3179935122601821,0.0029692291606235985,-1.4883324204822026,-0.23700970715249942,10188.64226876161,0.999950887566228
$\xi_{\lambda}$__5,-0.08356364482978666,0.2823393523134621,0.002852439607749517,-0.6496422272401242,0.46271977031020073,8396.570962920672,0.9999505507391584
$\xi_{\lambda}$__6,-1.0024448547694256,0.4793964473550905,0.0039726774649044986,-1.9241102698557138,-0.06325503959801895,15193.59250930669,0.9999579985781432
$\xi_{\lambda}$__7,0.7380425098621526,0.2687482038853418,0.003060896862382152,0.20994709198971234,1.2513715806235042,7592.719086863036,0.9999500137925844
$\xi_{\lambda}$__8,-1.6486908707609587,0.36936861189087167,0.0030892501602202234,-2.3597365096718916,-0.9168814001375161,12386.280954598637,0.999960323310422
$\xi_{\lambda}$__9,1.4662682183761118,0.2435299373983972,0.0027732792139051375,0.9848633121807904,1.9385214142668952,6587.643142026595,0.9999566228063511
$\zeta_{\varsigma}$__0,-1.8465373507009335,0.21564477433630078,0.003539128155312563,-2.2626575400238265,-1.422911861458494,3732.3712689317285,1.0001319966755162
$\zeta_{\varsigma}$__1,-2.5089009784830263,0.3043032114248371,0.0036696129490289436,-3.125966193940307,-1.928849548465334,6923.666638802225,0.9999749612658981
$\xi_{\varsigma}$__0,-0.23308526935826013,0.232088664480346,0.0035295417330943003,-0.6844052849206999,0.2213606005902234,4260.290333595972,1.0000839879549452
$\xi_{\varsigma}$__1,-0.5743584354684728,0.23614972965190675,0.003618400602201724,-1.0352482174209328,-0.1189454138950055,4186.808679633835,1.0000854750078427
$\xi_{\varsigma}$__2,-0.3605339443352405,0.2384687851268303,0.003562981335292768,-0.8225769869818588,0.1094776885467338,4460.6905595007975,1.0001376592466318
$\xi_{\varsigma}$__3,-0.17252155235168865,0.2285329869496679,0.0035949066688676238,-0.6247197153436224,0.26996212020351346,3897.324353111146,1.0000207390874951
$\xi_{\varsigma}$__4,-0.1303833457141609,0.23034473753100798,0.003454600879501366,-0.5691342663354004,0.3257543770695265,4241.476589199816,1.0000702666009371
$\xi_{\varsigma}$__5,-0.4802912534155432,0.2669468411082957,0.0034045760088004065,-1.0098467817070464,0.03028979449673337,5576.98345956818,1.0001295867566697
$\xi_{\varsigma}$__6,-1.5162267011142456,0.39277185124380276,0.003225566430217133,-2.3433291678615467,-0.8055382035732314,11726.433121919772,0.9999753275127621
$\xi_{\varsigma}$__7,0.034216258565461566,0.2538672674014541,0.0035037753761672807,-0.47831011351286745,0.5098949032296196,5152.138359170563,1.0000029454217676
$\xi_{\varsigma}$__8,-0.48412998019638287,0.23870688344958177,0.0035318706577182543,-0.9482260893138839,-0.012404177334802983,4345.552453007003,1.0001338258883754
$\xi_{\varsigma}$__9,-0.46979357321430587,0.3039057319234727,0.003913292139918553,-1.0575737354836057,0.1323806883620377,6022.557990676177,0.9999571951852281
$\zeta_{\delta}$__0,-6.066973951944631,0.30663322780054375,0.0032052432635048104,-6.6714699840602565,-5.478123176314133,8080.458741119848,0.9999733515388292
$\zeta_{\delta}$__1,-3.0589698964713956,0.22050943346639446,0.0031832140216110317,-3.5014259872593425,-2.6363580366189225,4924.364792254374,0.9999753144435203
$\xi_{\delta}$__0,-1.130632919226776,0.2603452690013499,0.003261427919691333,-1.6385987998317475,-0.6299672639932904,6670.521145485484,0.9999500012623813
$\xi_{\delta}$__1,-2.3849039682277686,0.30128877108274055,0.0032345977659023716,-2.9746163342267105,-1.8010106633769054,8693.866553217438,0.9999501282950718
$\xi_{\delta}$__2,-1.555086757280654,0.32016230120826294,0.0032064283148676214,-2.162836448377438,-0.9062311475202861,9577.784723139865,0.9999796286424113
$\xi_{\delta}$__3,-1.6744920025242787,0.297715314126978,0.0032561391253239946,-2.249282650503285,-1.0852244423998425,8645.306154922986,0.9999500624129006
$\xi_{\delta}$__4,-1.207972237897163,0.27296659525560946,0.003214945595640161,-1.742907902380932,-0.6670639735932696,7015.432168018481,1.000009724747372
$\xi_{\delta}$__5,-0.30794324287753827,0.2593330734838177,0.0032674701792075288,-0.8056266079731478,0.20507085962780544,6606.35032061836,0.9999543100352638
$\xi_{\delta}$__6,0.6060664298591882,0.25516071437314997,0.0032276940860672815,0.10738617878861502,1.1030385291697855,5910.731619696442,0.9999902844033179
$\xi_{\delta}$__7,0.16128815896416931,0.2754858262445379,0.003015718440875451,-0.39115954702689104,0.6849254977886069,7477.106310185613,1.0000247756126655
$\xi_{\delta}$__8,-1.5139550533593205,0.27048836871921556,0.0032545526674029822,-2.0517041761726214,-0.9981989949295939,7164.373295873575,0.9999909337632329
$\xi_{\delta}$__9,-0.09038355925572965,0.35092338259545464,0.0035950353086789343,-0.797252478738964,0.5743076328599472,9511.372855691956,0.9999945604629593
