,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
$\zeta_{\alpha}$__0,0.6248490642593483,0.2874031038877636,0.0048854283547185165,0.060602451149284614,1.1694460083379679,4476.641385779204,0.9999966382827999
$\zeta_{\alpha}$__1,0.3214887189493406,0.2828251676235982,0.005091165427643076,-0.2238106138018602,0.8778893901398226,2933.948444192114,1.0000844127260542
$\xi_{\alpha}$__0,0.25877611381987964,0.6232857253887026,0.008888661579076054,-0.9678663572185369,1.4782760253467355,4813.092953381644,1.0005610349804044
$\xi_{\alpha}$__1,-0.3046261085480758,0.5345237549530584,0.007337751544984936,-1.3364778493449894,0.7728675847923231,7309.457457274638,0.9999955850534313
$\xi_{\alpha}$__2,-0.48955197322904853,0.37366840655603323,0.007977734779726254,-1.2134762825667254,0.25336694857590647,1081.048477561518,1.0012406105910199
$\xi_{\alpha}$__3,0.9422453602580073,0.3853850201671274,0.00528523214310386,0.21410636219540383,1.72495902207724,6421.977771906177,1.000360493789926
$\xi_{\alpha}$__4,0.6026554774339413,0.5054283208719069,0.006200195145148204,-0.3653312994463196,1.6139072860120278,8067.46070578646,1.0004123719737992
$\xi_{\alpha}$__5,-0.8720323858743659,0.38976844569783103,0.008137867296483331,-1.641143087308789,-0.11381340235329751,1256.1376910706454,0.9999526954074501
$\xi_{\alpha}$__6,0.39543903621871934,0.5785877549781554,0.011610561756565059,-0.750958233787113,1.5260320070029245,1320.0670401613575,0.9999546720855089
$\xi_{\alpha}$__7,-0.6247836271716067,0.3401058725178823,0.00606674308275066,-1.3157757517543902,0.018944612497813786,3265.023905559764,0.9999871413042242
$\xi_{\alpha}$__8,-0.28878794099227756,0.5703889326063614,0.008554118699684326,-1.3728391032980904,0.8569422483180024,3311.982817489893,0.9999632816842047
$\xi_{\alpha}$__9,1.2928438827946696,0.3849969649901588,0.006191407915176917,0.5588816523744695,2.0567096769480067,3642.00035855816,1.0004686497442703
$\zeta_{\beta}$__0,-0.0045827558637703365,0.20554360276006173,0.003651739117536335,-0.38890709883525604,0.41281673983400835,3367.3042905718285,1.0004338564016626
$\zeta_{\beta}$__1,-0.0023746757948896594,0.20542853622739765,0.003602664767747784,-0.4059869562887377,0.39182400616984275,3384.273126093005,1.0002723819342458
$\xi_{\beta}$__0,-0.06283341237729076,0.2059736624942397,0.0037491057090458845,-0.47260575211609696,0.32978793550206403,3338.004741399257,1.0006421950031206
$\xi_{\beta}$__1,-0.03603824597496477,0.20642251782158105,0.003937549559485208,-0.4304424453574292,0.37228505882198604,3311.1444216157925,1.0004391468639384
$\xi_{\beta}$__2,0.035014681113933396,0.20633529849335008,0.0039613318623643555,-0.3806167692386397,0.4223142757789031,3300.769795100277,1.0010213452301033
$\xi_{\beta}$__3,-0.0488061549763041,0.2058052181237589,0.003610904165165462,-0.45517899570146847,0.34411081382218073,3383.2450120973376,1.0001821572002816
$\xi_{\beta}$__4,-0.01120222208122313,0.20631337643937314,0.0037803470310574052,-0.4163093318575174,0.38722527706196747,3341.1059783257524,1.0005770883673668
$\xi_{\beta}$__5,-0.009267011886911133,0.20687395673815406,0.00406633198050737,-0.4085457801536631,0.39657006641274894,3305.8190802314543,1.0003068571577032
$\xi_{\beta}$__6,-0.05972736936824174,0.20586156384170362,0.003630052332802871,-0.4720086283009419,0.33013708491933164,3371.3167124421184,1.000335383691178
$\xi_{\beta}$__7,-0.0010382422747858514,0.2068176435933012,0.0037185797970674173,-0.40632433996823986,0.3972608231745049,3350.388219049746,1.0001228784357339
$\xi_{\beta}$__8,0.007706102317261784,0.2058135851623181,0.003620441783546962,-0.3900705862155096,0.4068599974663085,3378.749613010797,1.0005881454417005
$\xi_{\beta}$__9,0.15719477849378535,0.20623233038652755,0.0037443244850545476,-0.2350514455826335,0.5729676678342044,3377.573537971073,1.0001043334832385
$\zeta_{\lambda}$__0,-2.849199088453597,0.22290865778447366,0.003172803364999107,-3.279028814458026,-2.411122263482507,5594.866137450539,1.0000204258133172
$\zeta_{\lambda}$__1,-2.3399012484135207,0.23681892990369363,0.0036037437829159608,-2.7963688621494214,-1.86938073719018,5821.1714381859165,1.0000413107582804
